"GEO.id","GEO.id2","area_title","pop_est","pop_est_error"
"310M200US10180","10180","Abilene, TX MSA","168922","2568"
"310M200US10420","10420","Akron, OH MSA","704243","*****"
"310M200US10500","10500","Albany, GA MSA","156997","2018"
"310M200US10540","10540","Albany, OR MSA","120547","*****"
"310M200US10580","10580","Albany-Schenectady-Troy, NY MSA","881830","*****"
"310M200US10740","10740","Albuquerque, NM MSA","906209","2370"
"310M200US10780","10780","Alexandria, LA MSA","154484","*****"
"310M200US10900","10900","Allentown-Bethlehem-Easton, PA-NJ MSA","832327","*****"
"310M200US11020","11020","Altoona, PA MSA","125593","*****"
"310M200US11100","11100","Amarillo, TX MSA","263258","1646"
"310M200US11180","11180","Ames, IA MSA","96021","*****"
"310M200US11260","11260","Anchorage, AK MSA","399790","*****"
"310M200US11460","11460","Ann Arbor, MI MSA","358880","*****"
"310M200US11500","11500","Anniston-Oxford-Jacksonville, AL MSA","115620","*****"
"310M200US11540","11540","Appleton, WI MSA","233007","*****"
"310M200US11700","11700","Asheville, NC MSA","446840","*****"
"310M200US12020","12020","Athens-Clarke County, GA MSA","201813","2323"
"310M200US12060","12060","Atlanta-Sandy Springs-Roswell, GA MSA","5709731","3035"
"310M200US12100","12100","Atlantic City-Hammonton, NJ MSA","274219","*****"
"310M200US12220","12220","Auburn-Opelika, AL MSA","156993","*****"
"310M200US12260","12260","Augusta-Richmond County, GA-SC MSA","590772","1617"
"310M200US12420","12420","Austin-Round Rock, TX MSA","2000860","*****"
"310M200US12540","12540","Bakersfield, CA MSA","882176","*****"
"310M200US12580","12580","Baltimore-Columbia-Towson, MD MSA","2797407","*****"
"310M200US12620","12620","Bangor, ME MSA","152692","*****"
"310M200US12700","12700","Barnstable Town, MA MSA","214333","*****"
"310M200US12940","12940","Baton Rouge, LA MSA","830480","*****"
"310M200US12980","12980","Battle Creek, MI MSA","134314","*****"
"310M200US13020","13020","Bay City, MI MSA","105659","*****"
"310M200US13140","13140","Beaumont-Port Arthur, TX MSA","408216","2161"
"310M200US13220","13220","Beckley, WV MSA","122507","*****"
"310M200US13380","13380","Bellingham, WA MSA","212284","*****"
"310M200US13460","13460","Bend-Redmond, OR MSA","175268","*****"
"310M200US13740","13740","Billings, MT MSA","169329","1141"
"310M200US13780","13780","Binghamton, NY MSA","246020","*****"
"310M200US13820","13820","Birmingham-Hoover, AL MSA","1145647","*****"
"310M200US13900","13900","Bismarck, ND MSA","129640","788"
"310M200US13980","13980","Blacksburg-Christiansburg-Radford, VA MSA","179904","3413"
"310M200US14010","14010","Bloomington, IL MSA","188725","1461"
"310M200US14020","14020","Bloomington, IN MSA","165577","*****"
"310M200US14100","14100","Bloomsburg-Berwick, PA MSA","85229","*****"
"310M200US14260","14260","Boise City, ID MSA","675800","2966"
"310M200US14460","14460","Boston-Cambridge-Newton, MA-NH MSA","4774321","*****"
"310M200US14500","14500","Boulder, CO MSA","319372","*****"
"310M200US14540","14540","Bowling Green, KY MSA","166890","2367"
"310M200US14740","14740","Bremerton-Silverdale, WA MSA","260131","*****"
"310M200US14860","14860","Bridgeport-Stamford-Norwalk, CT MSA","948053","*****"
"310M200US15180","15180","Brownsville-Harlingen, TX MSA","422156","*****"
"310M200US15260","15260","Brunswick, GA MSA","117771","3423"
"310M200US15380","15380","Buffalo-Cheektowaga-Niagara Falls, NY MSA","1135230","*****"
"310M200US15500","15500","Burlington, NC MSA","158276","*****"
"310M200US15540","15540","Burlington-South Burlington, VT MSA","216661","714"
"310M200US15680","15680","California-Lexington Park, MD MSA","111413","*****"
"310M200US15940","15940","Canton-Massillon, OH MSA","402976","*****"
"310M200US15980","15980","Cape Coral-Fort Myers, FL MSA","701982","*****"
"310M200US16020","16020","Cape Girardeau, MO-IL MSA","96542","2172"
"310M200US16060","16060","Carbondale-Marion, IL MSA","126828","*****"
"310M200US16180","16180","Carson City, NV MSA","54521","*****"
"310M200US16220","16220","Casper, WY MSA","82178","*****"
"310M200US16300","16300","Cedar Rapids, IA MSA","266040","*****"
"310M200US16540","16540","Chambersburg-Waynesboro, PA MSA","153638","*****"
"310M200US16580","16580","Champaign-Urbana, IL MSA","239672","1461"
"310M200US16620","16620","Charleston, WV MSA","219236","1739"
"310M200US16700","16700","Charleston-North Charleston, SC MSA","744526","*****"
"310M200US16740","16740","Charlotte-Concord-Gastonia, NC-SC MSA","2426363","*****"
"310M200US16820","16820","Charlottesville, VA MSA","230602","2719"
"310M200US16860","16860","Chattanooga, TN-GA MSA","546351","3449"
"310M200US16940","16940","Cheyenne, WY MSA","97121","*****"
"310M200US16980","16980","Chicago-Naperville-Elgin, IL-IN-WI MSA","9550108","1575"
"310M200US17020","17020","Chico, CA MSA","225411","*****"
"310M200US17140","17140","Cincinnati, OH-KY-IN MSA","2159329","3039"
"310M200US17300","17300","Clarksville, TN-KY MSA","279887","2316"
"310M200US17420","17420","Cleveland, TN MSA","121678","1953"
"310M200US17460","17460","Cleveland-Elyria, OH MSA","2060810","*****"
"310M200US17660","17660","Coeur d'Alene, ID MSA","150346","*****"
"310M200US17780","17780","College Station-Bryan, TX MSA","250145","2885"
"310M200US17820","17820","Colorado Springs, CO MSA","697856","*****"
"310M200US17860","17860","Columbia, MO MSA","174974","*****"
"310M200US17900","17900","Columbia, SC MSA","810574","2027"
"310M200US17980","17980","Columbus, GA-AL MSA","312936","2415"
"310M200US18020","18020","Columbus, IN MSA","81162","*****"
"310M200US18140","18140","Columbus, OH MSA","2021632","*****"
"310M200US18580","18580","Corpus Christi, TX MSA","450436","2923"
"310M200US18700","18700","Corvallis, OR MSA","87572","*****"
"310M200US18880","18880","Crestview-Fort Walton Beach-Destin, FL MSA","262172","*****"
"310M200US19060","19060","Cumberland, MD-WV MSA","99979","*****"
"310M200US19100","19100","Dallas-Fort Worth-Arlington, TX MSA","7102165","2017"
"310M200US19140","19140","Dalton, GA MSA","143781","*****"
"310M200US19180","19180","Danville, IL MSA","79282","*****"
"310M200US19300","19300","Daphne-Fairhope-Foley, AL MSA","203709","*****"
"310M200US19340","19340","Davenport-Moline-Rock Island, IA-IL MSA","384584","991"
"310M200US19380","19380","Dayton, OH MSA","800909","*****"
"310M200US19460","19460","Decatur, AL MSA","152680","*****"
"310M200US19500","19500","Decatur, IL MSA","107303","*****"
"310M200US19660","19660","Deltona-Daytona Beach-Ormond Beach, FL MSA","623279","*****"
"310M200US19740","19740","Denver-Aurora-Lakewood, CO MSA","2814330","*****"
"310M200US19780","19780","Des Moines-West Des Moines, IA MSA","622899","*****"
"310M200US19820","19820","Detroit-Warren-Dearborn, MI MSA","4302043","*****"
"310M200US20020","20020","Dothan, AL MSA","148171","*****"
"310M200US20100","20100","Dover, DE MSA","173533","*****"
"310M200US20220","20220","Dubuque, IA MSA","97125","*****"
"310M200US20260","20260","Duluth, MN-WI MSA","279601","*****"
"310M200US20500","20500","Durham-Chapel Hill, NC MSA","552493","*****"
"310M200US20700","20700","East Stroudsburg, PA MSA","166397","*****"
"310M200US20740","20740","Eau Claire, WI MSA","165636","*****"
"310M200US20940","20940","El Centro, CA MSA","180191","*****"
"310M200US21060","21060","Elizabethtown-Fort Knox, KY MSA","147877","1846"
"310M200US21140","21140","Elkhart-Goshen, IN MSA","203474","*****"
"310M200US21300","21300","Elmira, NY MSA","87071","*****"
"310M200US21340","21340","El Paso, TX MSA","838019","858"
"310M200US21500","21500","Erie, PA MSA","278045","*****"
"310M200US21660","21660","Eugene, OR MSA","362895","*****"
"310M200US21780","21780","Evansville, IN-KY MSA","315693","*****"
"310M200US21820","21820","Fairbanks, AK MSA","99631","*****"
"310M200US22020","22020","Fargo, ND-MN MSA","233836","*****"
"310M200US22140","22140","Farmington, NM MSA","118737","*****"
"310M200US22180","22180","Fayetteville, NC MSA","376509","*****"
"310M200US22220","22220","Fayetteville-Springdale-Rogers, AR-MO MSA","515403","2609"
"310M200US22380","22380","Flagstaff, AZ MSA","139097","*****"
"310M200US22420","22420","Flint, MI MSA","410849","*****"
"310M200US22500","22500","Florence, SC MSA","206448","*****"
"310M200US22520","22520","Florence-Muscle Shoals, AL MSA","146950","*****"
"310M200US22540","22540","Fond du Lac, WI MSA","101973","*****"
"310M200US22660","22660","Fort Collins, CO MSA","333577","*****"
"310M200US22900","22900","Fort Smith, AR-OK MSA","280241","*****"
"310M200US23060","23060","Fort Wayne, IN MSA","429820","*****"
"310M200US23420","23420","Fresno, CA MSA","974861","*****"
"310M200US23460","23460","Gadsden, AL MSA","103057","*****"
"310M200US23540","23540","Gainesville, FL MSA","276881","2205"
"310M200US23580","23580","Gainesville, GA MSA","193535","*****"
"310M200US23900","23900","Gettysburg, PA MSA","102295","*****"
"310M200US24020","24020","Glens Falls, NY MSA","126918","*****"
"310M200US24140","24140","Goldsboro, NC MSA","124132","*****"
"310M200US24220","24220","Grand Forks, ND-MN MSA","102449","*****"
"310M200US24260","24260","Grand Island, NE MSA","84942","617"
"310M200US24300","24300","Grand Junction, CO MSA","148513","*****"
"310M200US24340","24340","Grand Rapids-Wyoming, MI MSA","1038583","*****"
"310M200US24420","24420","Grants Pass, OR MSA","84745","*****"
"310M200US24500","24500","Great Falls, MT MSA","82278","*****"
"310M200US24540","24540","Greeley, CO MSA","285174","*****"
"310M200US24580","24580","Green Bay, WI MSA","316519","*****"
"310M200US24660","24660","Greensboro-High Point, NC MSA","752157","*****"
"310M200US24780","24780","Greenville, NC MSA","175842","*****"
"310M200US24860","24860","Greenville-Anderson-Mauldin, SC MSA","874869","*****"
"310M200US25060","25060","Gulfport-Biloxi-Pascagoula, MS MSA","389255","*****"
"310M200US25180","25180","Hagerstown-Martinsburg, MD-WV MSA","261486","*****"
"310M200US25220","25220","Hammond, LA MSA","128755","*****"
"310M200US25260","25260","Hanford-Corcoran, CA MSA","150965","*****"
"310M200US25420","25420","Harrisburg-Carlisle, PA MSA","565006","*****"
"310M200US25500","25500","Harrisonburg, VA MSA","131131","*****"
"310M200US25540","25540","Hartford-West Hartford-East Hartford, CT MSA","1211324","*****"
"310M200US25620","25620","Hattiesburg, MS MSA","148610","2231"
"310M200US25860","25860","Hickory-Lenoir-Morganton, NC MSA","362510","*****"
"310M200US25940","25940","Hilton Head Island-Bluffton-Beaufort, SC MSA","207413","*****"
"310M200US25980","25980","Hinesville, GA MSA","78811","2356"
"310M200US26140","26140","Homosassa Springs, FL MSA","141058","*****"
"310M200US26300","26300","Hot Springs, AR MSA","97177","*****"
"310M200US26380","26380","Houma-Thibodaux, LA MSA","212297","*****"
"310M200US26420","26420","Houston-The Woodlands-Sugar Land, TX MSA","6656946","*****"
"310M200US26580","26580","Huntington-Ashland, WV-KY-OH MSA","361580","*****"
"310M200US26620","26620","Huntsville, AL MSA","444752","*****"
"310M200US26820","26820","Idaho Falls, ID MSA","139849","736"
"310M200US26900","26900","Indianapolis-Carmel-Anderson, IN MSA","1988152","1992"
"310M200US26980","26980","Iowa City, IA MSA","166498","*****"
"310M200US27060","27060","Ithaca, NY MSA","104926","*****"
"310M200US27100","27100","Jackson, MI MSA","159494","*****"
"310M200US27140","27140","Jackson, MS MSA","578561","2348"
"310M200US27180","27180","Jackson, TN MSA","129682","*****"
"310M200US27260","27260","Jacksonville, FL MSA","1449481","*****"
"310M200US27340","27340","Jacksonville, NC MSA","186311","*****"
"310M200US27500","27500","Janesville-Beloit, WI MSA","161448","*****"
"310M200US27620","27620","Jefferson City, MO MSA","151357","2423"
"310M200US27740","27740","Johnson City, TN MSA","200264","1994"
"310M200US27780","27780","Johnstown, PA MSA","136411","*****"
"310M200US27860","27860","Jonesboro, AR MSA","128394","*****"
"310M200US27900","27900","Joplin, MO MSA","177211","*****"
"310M200US27980","27980","Kahului-Wailuku-Lahaina, HI MSA","164726","*****"
"310M200US28020","28020","Kalamazoo-Portage, MI MSA","335340","*****"
"310M200US28100","28100","Kankakee, IL MSA","110879","*****"
"310M200US28140","28140","Kansas City, MO-KS MSA","2088269","1655"
"310M200US28420","28420","Kennewick-Richland, WA MSA","279116","*****"
"310M200US28660","28660","Killeen-Temple, TX MSA","430642","2576"
"310M200US28700","28700","Kingsport-Bristol-Bristol, TN-VA MSA","305929","1737"
"310M200US28740","28740","Kingston, NY MSA","180143","*****"
"310M200US28940","28940","Knoxville, TN MSA","861679","1341"
"310M200US29020","29020","Kokomo, IN MSA","82556","*****"
"310M200US29100","29100","La Crosse-Onalaska, WI-MN MSA","136985","*****"
"310M200US29180","29180","Lafayette, LA MSA","490488","*****"
"310M200US29200","29200","Lafayette-West Lafayette, IN MSA","214997","1361"
"310M200US29340","29340","Lake Charles, LA MSA","205493","1673"
"310M200US29420","29420","Lake Havasu City-Kingman, AZ MSA","204737","*****"
"310M200US29460","29460","Lakeland-Winter Haven, FL MSA","650092","*****"
"310M200US29540","29540","Lancaster, PA MSA","536624","*****"
"310M200US29620","29620","Lansing-East Lansing, MI MSA","472276","*****"
"310M200US29700","29700","Laredo, TX MSA","269721","*****"
"310M200US29740","29740","Las Cruces, NM MSA","214295","*****"
"310M200US29820","29820","Las Vegas-Henderson-Paradise, NV MSA","2114801","*****"
"310M200US29940","29940","Lawrence, KS MSA","118053","*****"
"310M200US30020","30020","Lawton, OK MSA","130581","736"
"310M200US30140","30140","Lebanon, PA MSA","137067","*****"
"310M200US30300","30300","Lewiston, ID-WA MSA","62153","*****"
"310M200US30340","30340","Lewiston-Auburn, ME MSA","107233","*****"
"310M200US30460","30460","Lexington-Fayette, KY MSA","500535","*****"
"310M200US30620","30620","Lima, OH MSA","104425","*****"
"310M200US30700","30700","Lincoln, NE MSA","323557","1378"
"310M200US30780","30780","Little Rock-North Little Rock-Conway, AR MSA","730250","1686"
"310M200US30860","30860","Logan, UT-ID MSA","133821","1342"
"310M200US30980","30980","Longview, TX MSA","217781","*****"
"310M200US31020","31020","Longview, WA MSA","103468","*****"
"310M200US31080","31080","Los Angeles-Long Beach-Anaheim, CA MSA","13340068","*****"
"310M200US31140","31140","Louisville/Jefferson County, KY-IN MSA","1279335","3619"
"310M200US31180","31180","Lubbock, TX MSA","312433","1750"
"310M200US31340","31340","Lynchburg, VA MSA","260504","2447"
"310M200US31420","31420","Macon, GA MSA","231448","1987"
"310M200US31460","31460","Madera, CA MSA","154998","*****"
"310M200US31540","31540","Madison, WI MSA","641385","*****"
"310M200US31700","31700","Manchester-Nashua, NH MSA","406678","*****"
"310M200US31740","31740","Manhattan, KS MSA","98545","*****"
"310M200US31860","31860","Mankato-North Mankato, MN MSA","99134","*****"
"310M200US31900","31900","Mansfield, OH MSA","121707","*****"
"310M200US32580","32580","McAllen-Edinburg-Mission, TX MSA","842304","*****"
"310M200US32780","32780","Medford, OR MSA","212567","*****"
"310M200US32820","32820","Memphis, TN-MS-AR MSA","1343572","2810"
"310M200US32900","32900","Merced, CA MSA","268455","*****"
"310M200US33100","33100","Miami-Fort Lauderdale-West Palm Beach, FL MSA","6012331","*****"
"310M200US33140","33140","Michigan City-La Porte, IN MSA","110884","*****"
"310M200US33220","33220","Midland, MI MSA","83632","*****"
"310M200US33260","33260","Midland, TX MSA","165427","1106"
"310M200US33340","33340","Milwaukee-Waukesha-West Allis, WI MSA","1575747","*****"
"310M200US33460","33460","Minneapolis-St. Paul-Bloomington, MN-WI MSA","3524583","*****"
"310M200US33540","33540","Missoula, MT MSA","114181","*****"
"310M200US33660","33660","Mobile, AL MSA","415395","*****"
"310M200US33700","33700","Modesto, CA MSA","538388","*****"
"310M200US33740","33740","Monroe, LA MSA","179238","*****"
"310M200US33780","33780","Monroe, MI MSA","149568","*****"
"310M200US33860","33860","Montgomery, AL MSA","375435","1292"
"310M200US34060","34060","Morgantown, WV MSA","138176","*****"
"310M200US34100","34100","Morristown, TN MSA","116642","*****"
"310M200US34580","34580","Mount Vernon-Anacortes, WA MSA","121846","*****"
"310M200US34620","34620","Muncie, IN MSA","116852","*****"
"310M200US34740","34740","Muskegon, MI MSA","172790","*****"
"310M200US34820","34820","Myrtle Beach-Conway-North Myrtle Beach, SC-NC MSA","431964","*****"
"310M200US34900","34900","Napa, CA MSA","142456","*****"
"310M200US34940","34940","Naples-Immokalee-Marco Island, FL MSA","357305","*****"
"310M200US34980","34980","Nashville-Davidson--Murfreesboro--Franklin, TN MSA","1830298","1771"
"310M200US35100","35100","New Bern, NC MSA","125066","2456"
"310M200US35300","35300","New Haven-Milford, CT MSA","859470","*****"
"310M200US35380","35380","New Orleans-Metairie, LA MSA","1262888","*****"
"310M200US35620","35620","New York-Newark-Jersey City, NY-NJ-PA MSA","20182305","*****"
"310M200US35660","35660","Niles-Benton Harbor, MI MSA","154636","*****"
"310M200US35840","35840","North Port-Sarasota-Bradenton, FL MSA","768918","*****"
"310M200US35980","35980","Norwich-New London, CT MSA","271863","*****"
"310M200US36100","36100","Ocala, FL MSA","343254","*****"
"310M200US36140","36140","Ocean City, NJ MSA","94727","*****"
"310M200US36220","36220","Odessa, TX MSA","159436","*****"
"310M200US36260","36260","Ogden-Clearfield, UT MSA","644030","1825"
"310M200US36420","36420","Oklahoma City, OK MSA","1358452","*****"
"310M200US36500","36500","Olympia-Tumwater, WA MSA","269536","*****"
"310M200US36540","36540","Omaha-Council Bluffs, NE-IA MSA","915557","1015"
"310M200US36740","36740","Orlando-Kissimmee-Sanford, FL MSA","2387138","*****"
"310M200US36780","36780","Oshkosh-Neenah, WI MSA","169546","*****"
"310M200US36980","36980","Owensboro, KY MSA","117967","2225"
"310M200US37100","37100","Oxnard-Thousand Oaks-Ventura, CA MSA","850536","*****"
"310M200US37340","37340","Palm Bay-Melbourne-Titusville, FL MSA","568088","*****"
"310M200US37460","37460","Panama City, FL MSA","197723","2204"
"310M200US37620","37620","Parkersburg-Vienna, WV MSA","92776","1490"
"310M200US37860","37860","Pensacola-Ferry Pass-Brent, FL MSA","478043","*****"
"310M200US37900","37900","Peoria, IL MSA","376987","866"
"310M200US37980","37980","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD MSA","6069875","*****"
"310M200US38060","38060","Phoenix-Mesa-Scottsdale, AZ MSA","4574531","*****"
"310M200US38220","38220","Pine Bluff, AR MSA","94489","1135"
"310M200US38300","38300","Pittsburgh, PA MSA","2353045","*****"
"310M200US38340","38340","Pittsfield, MA MSA","127828","*****"
"310M200US38540","38540","Pocatello, ID MSA","83744","*****"
"310M200US38860","38860","Portland-South Portland, ME MSA","526295","*****"
"310M200US38900","38900","Portland-Vancouver-Hillsboro, OR-WA MSA","2390244","1163"
"310M200US38940","38940","Port St. Lucie, FL MSA","454846","*****"
"310M200US39140","39140","Prescott, AZ MSA","222255","*****"
"310M200US39300","39300","Providence-Warwick, RI-MA MSA","1613070","*****"
"310M200US39340","39340","Provo-Orem, UT MSA","585257","1802"
"310M200US39380","39380","Pueblo, CO MSA","163591","*****"
"310M200US39460","39460","Punta Gorda, FL MSA","173115","*****"
"310M200US39540","39540","Racine, WI MSA","195080","*****"
"310M200US39580","39580","Raleigh, NC MSA","1273568","*****"
"310M200US39660","39660","Rapid City, SD MSA","145457","2433"
"310M200US39740","39740","Reading, PA MSA","415271","*****"
"310M200US39820","39820","Redding, CA MSA","179533","*****"
"310M200US39900","39900","Reno, NV MSA","451138","1147"
"310M200US40060","40060","Richmond, VA MSA","1271142","4676"
"310M200US40140","40140","Riverside-San Bernardino-Ontario, CA MSA","4489159","*****"
"310M200US40220","40220","Roanoke, VA MSA","311901","907"
"310M200US40340","40340","Rochester, MN MSA","213873","*****"
"310M200US40380","40380","Rochester, NY MSA","1081954","*****"
"310M200US40420","40420","Rockford, IL MSA","340663","*****"
"310M200US40580","40580","Rocky Mount, NC MSA","148069","*****"
"310M200US40660","40660","Rome, GA MSA","96504","*****"
"310M200US40900","40900","Sacramento--Roseville--Arden-Arcade, CA MSA","2274194","*****"
"310M200US40980","40980","Saginaw, MI MSA","193307","*****"
"310M200US41060","41060","St. Cloud, MN MSA","194418","*****"
"310M200US41100","41100","St. George, UT MSA","155602","*****"
"310M200US41140","41140","St. Joseph, MO-KS MSA","127421","1490"
"310M200US41180","41180","St. Louis, MO-IL MSA","2812313","2503"
"310M200US41420","41420","Salem, OR MSA","410091","*****"
"310M200US41500","41500","Salinas, CA MSA","433898","*****"
"310M200US41540","41540","Salisbury, MD-DE MSA","395300","*****"
"310M200US41620","41620","Salt Lake City, UT MSA","1170266","*****"
"310M200US41660","41660","San Angelo, TX MSA","120106","597"
"310M200US41700","41700","San Antonio-New Braunfels, TX MSA","2381828","2368"
"310M200US41740","41740","San Diego-Carlsbad, CA MSA","3299521","*****"
"310M200US41860","41860","San Francisco-Oakland-Hayward, CA MSA","4656132","*****"
"310M200US41940","41940","San Jose-Sunnyvale-Santa Clara, CA MSA","1976836","*****"
"310M200US42020","42020","San Luis Obispo-Paso Robles-Arroyo Grande, CA MSA","281401","*****"
"310M200US42100","42100","Santa Cruz-Watsonville, CA MSA","274146","*****"
"310M200US42140","42140","Santa Fe, NM MSA","148686","*****"
"310M200US42200","42200","Santa Maria-Santa Barbara, CA MSA","444769","*****"
"310M200US42220","42220","Santa Rosa, CA MSA","502146","*****"
"310M200US42340","42340","Savannah, GA MSA","379199","*****"
"310M200US42540","42540","Scranton--Wilkes-Barre--Hazleton, PA MSA","558166","*****"
"310M200US42660","42660","Seattle-Tacoma-Bellevue, WA MSA","3733580","*****"
"310M200US42680","42680","Sebastian-Vero Beach, FL MSA","147919","*****"
"310M200US42700","42700","Sebring, FL MSA","99491","*****"
"310M200US43100","43100","Sheboygan, WI MSA","115569","*****"
"310M200US43300","43300","Sherman-Denison, TX MSA","125467","*****"
"310M200US43340","43340","Shreveport-Bossier City, LA MSA","443708","*****"
"310M200US43420","43420","Sierra Vista-Douglas, AZ MSA","126427","*****"
"310M200US43580","43580","Sioux City, IA-NE-SD MSA","165491","1372"
"310M200US43620","43620","Sioux Falls, SD MSA","252234","574"
"310M200US43780","43780","South Bend-Mishawaka, IN-MI MSA","320098","*****"
"310M200US43900","43900","Spartanburg, SC MSA","325079","*****"
"310M200US44060","44060","Spokane-Spokane Valley, WA MSA","546807","1163"
"310M200US44100","44100","Springfield, IL MSA","211598","1178"
"310M200US44140","44140","Springfield, MA MSA","631982","*****"
"310M200US44180","44180","Springfield, MO MSA","455074","2454"
"310M200US44220","44220","Springfield, OH MSA","135959","*****"
"310M200US44300","44300","State College, PA MSA","160580","*****"
"310M200US44420","44420","Staunton-Waynesboro, VA MSA","120221","*****"
"310M200US44700","44700","Stockton-Lodi, CA MSA","726106","*****"
"310M200US44940","44940","Sumter, SC MSA","107480","*****"
"310M200US45060","45060","Syracuse, NY MSA","660458","*****"
"310M200US45220","45220","Tallahassee, FL MSA","378593","1564"
"310M200US45300","45300","Tampa-St. Petersburg-Clearwater, FL MSA","2975225","*****"
"310M200US45460","45460","Terre Haute, IN MSA","172107","2612"
"310M200US45500","45500","Texarkana, TX-AR MSA","151316","1862"
"310M200US45540","45540","The Villages, FL MSA","118891","*****"
"310M200US45780","45780","Toledo, OH MSA","605956","*****"
"310M200US45820","45820","Topeka, KS MSA","233791","*****"
"310M200US45940","45940","Trenton, NJ MSA","371398","*****"
"310M200US46060","46060","Tucson, AZ MSA","1010025","*****"
"310M200US46140","46140","Tulsa, OK MSA","980794","1439"
"310M200US46220","46220","Tuscaloosa, AL MSA","241851","3298"
"310M200US46340","46340","Tyler, TX MSA","222936","*****"
"310M200US46520","46520","Urban Honolulu, HI MSA","998714","*****"
"310M200US46540","46540","Utica-Rome, NY MSA","295600","*****"
"310M200US46660","46660","Valdosta, GA MSA","142202","1071"
"310M200US46700","46700","Vallejo-Fairfield, CA MSA","436092","*****"
"310M200US47020","47020","Victoria, TX MSA","99040","1255"
"310M200US47220","47220","Vineland-Bridgeton, NJ MSA","155854","*****"
"310M200US47260","47260","Virginia Beach-Norfolk-Newport News, VA-NC MSA","1723351","3388"
"310M200US47300","47300","Visalia-Porterville, CA MSA","459863","*****"
"310M200US47380","47380","Waco, TX MSA","262425","1789"
"310M200US47460","47460","Walla Walla, WA MSA","64056","931"
"310M200US47580","47580","Warner Robins, GA MSA","187953","1640"
"310M200US47900","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","6098283","2866"
"310M200US47940","47940","Waterloo-Cedar Falls, IA MSA","170612","*****"
"310M200US48060","48060","Watertown-Fort Drum, NY MSA","117635","*****"
"310M200US48140","48140","Wausau, WI MSA","135868","*****"
"310M200US48260","48260","Weirton-Steubenville, WV-OH MSA","121403","2045"
"310M200US48300","48300","Wenatchee, WA MSA","116178","*****"
"310M200US48540","48540","Wheeling, WV-OH MSA","144198","*****"
"310M200US48620","48620","Wichita, KS MSA","644502","1171"
"310M200US48660","48660","Wichita Falls, TX MSA","150780","*****"
"310M200US48700","48700","Williamsport, PA MSA","116048","*****"
"310M200US48900","48900","Wilmington, NC MSA","277969","*****"
"310M200US49020","49020","Winchester, VA-WV MSA","133621","2267"
"310M200US49180","49180","Winston-Salem, NC MSA","659330","*****"
"310M200US49340","49340","Worcester, MA-CT MSA","935536","*****"
"310M200US49420","49420","Yakima, WA MSA","248830","*****"
"310M200US49620","49620","York-Hanover, PA MSA","442867","*****"
"310M200US49660","49660","Youngstown-Warren-Boardman, OH-PA MSA","549885","*****"
"310M200US49700","49700","Yuba City, CA MSA","170955","*****"
"310M200US49740","49740","Yuma, AZ MSA","204275","*****"
